image,kp,kd
img_0000000.png,6.0,0.9249975481632257
img_0000001.png,6.0,2.6994812146090865
img_0000002.png,6.0,2.7037469250953055
img_0000003.png,6.0,2.708080708852674
img_0000004.png,6.0,2.7124736163040595
img_0000005.png,6.0,2.716915441812415
img_0000006.png,6.0,2.721394423228814
img_0000007.png,6.0,2.7258976813358466
img_0000008.png,6.0,2.7304115899714594
img_0000009.png,6.0,2.73492198784084
img_0000010.png,6.0,2.739414267119545
img_0000011.png,6.0,2.7438735345693424
img_0000012.png,6.0,2.7482841646852494
img_0000013.png,6.0,2.752630133481404
img_0000014.png,6.0,2.7568951079189166
img_0000015.png,6.0,2.7610623013035447
img_0000016.png,6.0,2.7651145982841845
img_0000017.png,6.0,2.769034673038984
img_0000018.png,6.0,2.7728051391561674
img_0000019.png,6.0,2.7764087295089332
img_0000020.png,6.0,2.7798285997821006
img_0000021.png,6.0,2.7830482583523497
img_0000022.png,6.0,2.786052077791929
img_0000023.png,6.0,2.7888254939383135
img_0000024.png,6.0,2.791355220340968
img_0000025.png,6.0,2.793629486577326
img_0000026.png,6.0,2.7956382611232184
img_0000027.png,6.0,2.7973734515009583
img_0000028.png,6.0,2.7988290749531815
img_0000029.png,6.0,2.800001393740121
img_0000030.png,6.0,2.800889010310942
img_0000031.png,6.0,2.8014929190092452
img_0000032.png,6.0,2.8018165125648977
img_0000033.png,6.0,2.8018655433113095
img_0000034.png,6.0,2.8016480407485966
img_0000035.png,6.0,2.8011741886493984
img_0000036.png,6.0,2.800456166284794
img_0000037.png,6.0,2.7995079594585746
img_0000038.png,6.0,2.798345147828968
img_0000039.png,6.0,2.796984675440138
img_0000040.png,6.0,2.795444611485641
img_0000041.png,6.0,2.793743908104377
img_0000042.png,6.0,2.7919021615118513
img_0000043.png,6.0,2.7899393820538094
img_0000044.png,6.0,2.7878757778982255
img_0000045.png,6.0,2.785731556123247
img_0000046.png,6.0,2.7835267439731517
img_0000047.png,6.0,2.7812810320944976
img_0000048.png,6.0,2.779013640676062
img_0000049.png,6.0,2.7767432086264443
img_0000050.png,6.0,2.7744877052551473
img_0000051.png,6.0,2.772264363383087
img_0000052.png,6.0,2.770089632399945
img_0000053.png,6.0,2.7679791494972124
img_0000054.png,5.999872898473127,2.7659477271307424
img_0000055.png,5.9829133344337055,2.7640093546855913
img_0000056.png,5.96612923533947,2.762177212314698
